WEEK; DAY; RESEARCH; TEACHING; PROGRAMMING & READING
01; 01/Jan/2025; 0.0; 2.0; 0.0
01; 02/Jan/2025; 0.0; 4.0; 0.0
01; 03/Jan/2025; 0.0; 4.0; 0.0
02; 04/Jan/2025; 0.0; 4.0; 0.0
02; 05/Jan/2025; 0.0; 2.0; 0.0
02; 06/Jan/2025; 0.0; 4.5; 0.0
02; 07/Jan/2025; 0.0; 2.0; 0.0
02; 08/Jan/2025; 1.0; 2.0; 0.0
02; 09/Jan/2025; 0.0; 2.0; 0.0
02; 10/Jan/2025; 0.0; 0.0; 0.0
03; 11/Jan/2025; 0.0; 0.0; 0.0
03; 12/Jan/2025; 0.0; 2.0; 0.0
03; 13/Jan/2025; 0.0; 2.0; 0.0
03; 14/Jan/2025; 0.0; 3.0; 0.0
03; 15/Jan/2025; 0.0; 2.0; 0.0
03; 16/Jan/2025; 0.0; 4.0; 0.0
03; 17/Jan/2025; 2.5; 0.0; 0.0
04; 18/Jan/2025; 3.0; 0.0; 0.0
04; 19/Jan/2025; 1.0; 0.5; 0.0
04; 20/Jan/2025; 0.0; 2.0; 0.0
04; 21/Jan/2025; 0.0; 5.0; 0.0
04; 22/Jan/2025; 0.0; 1.5; 0.0
04; 23/Jan/2025; 0.0; 1.5; 0.0
04; 24/Jan/2025; 0.0; 2.5; 0.0
05; 25/Jan/2025; 0.0; 0.0; 0.0
05; 26/Jan/2025; 0.0; 0.0; 0.0
05; 27/Jan/2025; 0.0; 0.0; 4.0
05; 28/Jan/2025; 0.0; 0.0; 4.0
05; 29/Jan/2025; 0.0; 0.0; 4.0
05; 30/Jan/2025; 0.0; 0.0; 4.0
05; 31/Jan/2025; 0.0; 0.0; 4.0
06; 01/Feb/2025; 0.0; 0.0; 4.0
